6.625699	4.831482	2.133726	0.953316	1.351216	0.424116	0.042933	-1.315299	-1.015543	0.000677	0.091939	0.091626	
6.403797	3.913954	0.847347	0.803114	1.705416	0.518852	0.998273	-0.141351	-0.051506	0.311517	0.231456	0.086281	
6.002967	5.304756	3.303364	1.782543	1.135131	-0.109037	0.179243	-0.315621	-0.002576	0.028079	-0.006854	0.005184	
5.354561	4.385738	2.762233	2.092552	2.031980	1.049991	1.039816	0.542287	0.726445	0.429593	0.241163	0.072394	
6.096824	4.890535	2.735397	1.700772	2.253030	1.348306	0.469249	-0.803871	-0.881075	-0.388585	-0.132144	-0.014086	
5.712596	4.838775	2.912581	2.129450	2.896642	2.088783	1.573941	-0.323685	-0.657223	-0.503413	-0.143851	-0.030013	
5.357605	5.033076	3.906061	3.065768	2.589023	1.401909	0.653672	-0.241455	-0.174058	-0.115679	-0.086125	-0.040505	
5.023619	4.812229	4.018422	3.555619	3.616677	2.426055	1.335061	-0.030662	-0.177217	-0.160585	-0.010386	-0.054123	
1.529688	1.085775	-0.014190	-1.938414	0.399573	0.474367	2.239208	1.110372	0.311554	0.347422	0.166520	-0.001680	
1.370932	1.115921	0.551864	-0.268774	-0.081668	0.841778	2.404841	0.459438	1.013892	0.464624	0.270372	0.006663	
1.410343	2.165794	1.336823	-0.412341	1.486214	1.162199	2.230767	1.602005	0.459634	0.503938	0.236637	-0.019892	
1.427323	1.650282	2.659810	1.317504	1.140501	1.526847	3.168847	1.593766	0.902608	0.714616	0.284969	0.038941	
6.197363	3.755540	0.351613	0.562429	1.927999	1.488777	2.066849	0.236077	-0.010535	-0.081503	-0.003966	0.007801	
5.313999	3.648875	1.100699	0.631774	1.849666	2.134884	2.398611	0.792850	0.674982	0.473403	0.197390	0.048694	
5.291338	2.595251	-0.431621	0.293013	3.317191	2.174742	2.512633	1.382774	0.900383	-0.037902	-0.055618	0.025765	
4.651074	2.559199	0.478770	-0.786569	1.550790	2.579729	3.505026	1.535131	0.801647	0.228518	0.023294	0.041204	
6.146155	2.002332	-0.956888	0.688731	2.897405	3.599085	4.703432	1.355272	-0.974661	-0.372746	-0.079806	0.091339	
5.644254	2.351368	-0.470422	1.227789	3.787205	4.305754	3.856163	0.404992	-0.531303	-0.092136	0.059298	0.105700	
5.711858	2.835829	-0.514749	-0.021618	3.098692	3.513976	3.522633	1.018001	-0.055433	-0.145888	-0.129864	0.047484	
5.127924	2.976646	0.767330	1.359496	3.563074	3.856261	3.364141	1.083878	0.358042	0.033517	0.008682	0.087750	
4.662680	2.678081	-0.307687	0.551877	5.312169	3.433082	1.545082	1.390069	0.578671	0.061298	-0.084945	-0.065676	
5.019516	2.643348	0.227049	1.885030	4.687277	3.760955	2.705083	0.741903	0.646849	0.026160	0.066381	0.076796	
5.779974	3.296530	0.648493	1.541287	3.226888	2.783497	2.327328	0.450727	0.117006	-0.234774	0.060615	0.066622	
4.620605	3.505955	2.121241	2.101875	3.159923	3.220610	3.082681	1.415702	0.673371	0.098651	0.141702	0.092450	
6.425205	3.594988	0.078617	0.787775	1.713729	-1.109824	0.842695	-0.126554	1.185806	0.692046	0.275958	0.070569	
5.258124	3.160667	-0.526494	0.198478	2.297822	0.489657	1.829289	0.496250	1.180816	0.536620	0.285737	0.055247	
5.236504	3.795100	1.438909	0.960871	1.249597	0.524002	1.321353	0.891001	1.171605	0.825995	0.386808	0.073634	
2.115313	3.214629	1.932485	1.561072	2.067992	1.110221	2.322181	0.999881	1.488018	0.644348	0.438976	0.083526	
4.912912	4.643453	3.533004	2.771754	2.754704	1.926261	1.667207	0.646139	0.313767	-0.021064	0.099632	0.010109	
4.383980	4.473703	4.086389	3.556130	3.247092	2.482427	1.957255	1.109502	0.647292	0.271697	0.224828	0.042619	
4.041307	3.767408	2.928183	2.452081	2.441101	1.985658	1.990391	1.350738	1.139545	0.581246	0.273153	0.090214	
3.736326	3.677058	3.399064	3.196396	3.122453	2.692624	2.368118	1.590195	1.129317	0.595292	0.310345	0.122233	
